,number of player,name of player,total points
0,1,GARY HUA,6.0
1,2,DAKSHESH DARURI,6.0
2,3,ADITYA BAJAJ,6.0
3,4,PATRICK H SCHILLING,5.5
4,5,HANSHI ZUO,5.5
5,6,HANSEN SONG,5.0
6,7,GARY DEE SWATHELL,5.0
7,8,EZEKIEL HOUGHTON,5.0
8,9,STEFANO LEE,5.0
9,10,ANVIT RAO,5.0
10,11,CAMERON WILLIAM MC LEMAN,4.5
11,12,KENNETH J TACK,4.5
12,13,TORRANCE HENRY JR,4.5
13,14,BRADLEY SHAW,4.5
14,15,ZACHARY JAMES HOUGHTON,4.5
15,16,MIKE NIKITIN,4.0
16,17,RONALD GRZEGORCZYK,4.0
17,18,DAVID SUNDEEN,4.0
18,19,DIPANKAR ROY,4.0
19,20,JASON ZHENG,4.0
20,21,DINH DANG BUI,4.0
21,22,EUGENE L MCCLURE,4.0
22,23,ALAN BUI,4.0
23,24,MICHAEL R ALDRICH,4.0
24,25,LOREN SCHWIEBERT,3.5
25,26,MAX ZHU,3.5
26,27,GAURAV GIDWANI,3.5
27,28,SOFIA ADINA STANESCU-BELLU,3.5
28,29,CHIEDOZIE OKORIE,3.5
29,30,GEORGE AVERY JONES,3.5
30,31,RISHI SHETTY,3.5
31,32,JOSHUA PHILIP MATHEWS,3.5
32,33,JADE GE,3.5
33,34,MICHAEL JEFFERY THOMAS,3.5
34,35,JOSHUA DAVID LEE,3.5
35,36,SIDDHARTH JHA,3.5
36,37,AMIYATOSH PWNANANDAM,3.5
37,38,BRIAN LIU,3.0
38,39,JOEL R HENDON,3.0
39,40,FOREST ZHANG,3.0
40,41,KYLE WILLIAM MURPHY,3.0
41,42,JARED GE,3.0
42,43,ROBERT GLEN VASEY,3.0
43,44,JUSTIN D SCHILLING,3.0
44,45,DEREK YAN,3.0
45,46,JACOB ALEXANDER LAVALLEY,3.0
46,47,ERIC WRIGHT,2.5
47,48,DANIEL KHAIN,2.5
48,49,MICHAEL J MARTIN,2.5
49,50,SHIVAM JHA,2.5
50,51,TEJAS AYYAGARI,2.5
51,52,ETHAN GUO,2.5
52,53,JOSE C YBARRA,2.0
53,54,LARRY HODGE,2.0
54,55,ALEX KONG,2.0
55,56,MARISA RICCI,2.0
56,57,MICHAEL LU,2.0
57,58,VIRAJ MOHILE,2.0
58,59,SEAN M MC CORMICK,2.0
59,60,JULIA SHEN,1.5
60,61,JEZZEL FARKAS,1.5
61,62,ASHWIN BALAJI,1.0
62,63,THOMAS JOSEPH HOSMER,1.0
63,64,BEN LI,1.0
