rank,prev_rank,name,league,off,def,spi
1,2,Bayern Munich,German Bundesliga,3.31,0.28,94.66
2,1,Manchester City,Barclays Premier League,3.09,0.25,94.11
3,3,Liverpool,Barclays Premier League,2.83,0.38,90.62
4,5,Barcelona,Spanish Primera Division,2.88,0.43,90.14
5,4,Paris Saint-Germain,French Ligue 1,2.92,0.52,89.11
6,6,Real Madrid,Spanish Primera Division,2.57,0.35,89.05
7,7,Manchester United,Barclays Premier League,2.43,0.4,86.83
8,10,Atletico Madrid,Spanish Primera Division,2.28,0.35,86.32
9,9,Chelsea,Barclays Premier League,2.51,0.53,85.04
10,12,Internazionale,Italy Serie A,2.51,0.57,84.34
11,11,Borussia Dortmund,German Bundesliga,2.41,0.53,84.12
12,8,RB Leipzig,German Bundesliga,2.43,0.55,83.94
13,16,Juventus,Italy Serie A,2.42,0.62,82.45
14,15,Leicester City,Barclays Premier League,2.12,0.53,80.34
15,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,0.98,80.28
16,13,Sevilla FC,Spanish Primera Division,2.07,0.52,80.03
17,29,Arsenal,Barclays Premier League,2.18,0.62,79.17
18,14,Atalanta,Italy Serie A,2.3,0.71,79.1
19,22,Napoli,Italy Serie A,2.18,0.63,79.05
20,18,AC Milan,Italy Serie A,2.26,0.69,78.82
21,17,Wolverhampton,Barclays Premier League,1.92,0.49,78.54
22,20,Bayer Leverkusen,German Bundesliga,2.2,0.69,77.92
23,28,Tottenham Hotspur,Barclays Premier League,2.11,0.63,77.91
24,21,Borussia Monchengladbach,German Bundesliga,2.23,0.73,77.64
25,23,Zenit St Petersburg,Russian Premier Liga,2.11,0.65,77.6
26,24,Ajax,Dutch Eredivisie,2.43,0.89,76.95
27,25,Real Sociedad,Spanish Primera Division,1.97,0.61,76.22
28,34,Lyon,French Ligue 1,1.99,0.63,76.13
29,26,Villarreal,Spanish Primera Division,2.12,0.73,75.95
30,33,Olympiacos,Greek Super League,2.05,0.71,75.22
31,35,Benfica,Portuguese Liga,2.18,0.81,74.99
32,39,Everton,Barclays Premier League,1.94,0.65,74.96
33,36,FC Porto,Portuguese Liga,2.07,0.74,74.87
34,30,AS Roma,Italy Serie A,2.14,0.8,74.51
35,27,Getafe,Spanish Primera Division,1.76,0.56,74.01
36,31,Granada,Spanish Primera Division,1.85,0.67,72.92
37,37,TSG Hoffenheim,German Bundesliga,2.18,0.92,72.55
38,32,Southampton,Barclays Premier League,1.95,0.77,72.32
39,38,VfL Wolfsburg,German Bundesliga,1.95,0.77,72.25
40,41,Real Betis,Spanish Primera Division,1.92,0.76,71.9
41,44,Lazio,Italy Serie A,2.04,0.86,71.54
42,42,Shakhtar Donetsk,UEFA Europa League,2.2,0.98,71.49
43,43,Eintracht Frankfurt,German Bundesliga,2.04,0.91,70.56
44,53,Celta Vigo,Spanish Primera Division,1.75,0.72,69.96
45,59,Celtic,Scottish Premiership,2.17,1.04,69.93
46,52,Lille,French Ligue 1,1.73,0.7,69.85
47,48,Flamengo,Brasileiro Série A,1.94,0.87,69.75
48,54,Young Boys,Swiss Raiffeisen Super League,2.18,1.06,69.42
49,49,Osasuna,Spanish Primera Division,1.79,0.77,69.4
